Institution,Location,Institution Type,Economic Development Region,City,Address,Location Description,Latitude,Longitude
British Columbia Institute of Technology,Aerospace Technology Campus,B.C. Public,Mainland/Southwest,Richmond,3800 Cessna Dr,Satellite,49.1848816,-123.1470836
British Columbia Institute of Technology,Annacis Island,B.C. Public,Mainland/Southwest,Delta,1608 Cliveden Ave,Satellite,49.1636275,-122.968955
British Columbia Institute of Technology,BCIT Marine Campus,B.C. Public,Mainland/Southwest,North Vancouver,265 W Esplanade,Satellite,49.3127072,-123.0883525
British Columbia Institute of Technology,Burnaby,B.C. Public,Mainland/Southwest,Burnaby,3700 Willingdon Ave,Campus,49.250928,-123.0056046
British Columbia Institute of Technology,Downtown,B.C. Public,Mainland/Southwest,Vancouver,555 Seymour St,Satellite,49.2834511,-123.1174435
British Columbia Institute of Technology,Great Northern Way,B.C. Public,Mainland/Southwest,Vancouver,555 Great Northern Way,Satellite,49.2673456,-123.0932612
Camosun College,Interurban Campus,B.C. Public,Vancouver Island/Coast,Victoria,4461 Interurban Rd,Campus,48.490802,-123.416497
Camosun College,Lansdowne Campus,B.C. Public,Vancouver Island/Coast,Victoria,3100 Foul Bay Rd,Campus,48.447804,-123.322995
Capilano University,Mt.Currie,B.C. Public,Mainland/Southwest,Mt Currie,367 Ir 10 Rd,Learning Centre,50.3187464,-122.7254497
Capilano University,North Vancouver,B.C. Public,Mainland/Southwest,North Vancouver,2055 Purcell Way,Campus,49.317754,-123.019085
Capilano University,Sunshine Coast,B.C. Public,Mainland/Southwest,Sechelt,5627 Inlet Ave,Regional Campus,49.47586,-123.7568349
College of New Caledonia,Burns Lake,B.C. Public,Cariboo,Burns Lake,545 Highway 16 West,Regional Campus,54.2322916,-125.7650595
College of New Caledonia,Fort St. James,B.C. Public,Cariboo,Fort St James,179 Douglas Ave,Regional Campus,54.4402732,-124.2519217
College of New Caledonia,MacKenzie,B.C. Public,Cariboo,Mackenzie,540 Mackenzie Blvd,Regional Campus,55.3402012,-123.986676
College of New Caledonia,Nechako,B.C. Public,Cariboo,Vanderhoof,3231 Hospital Rd,Regional Campus,54.0278829,-124.0113553
College of New Caledonia,Nicholsen (PG),B.C. Public,Cariboo,Prince George,3330-22nd Ave,Campus,53.905596,-122.783976
College of New Caledonia,Prince George,B.C. Public,Cariboo,Prince George,3330-22nd Ave,Campus,53.905596,-122.783976
College of New Caledonia,Quesnel,B.C. Public,Cariboo,Quesnel,100 Campus Way,Regional Campus,52.9824864,-122.471962
College of the Rockies,Cranbrook Campus,B.C. Public,Cariboo,Cranbrook,2700 College Way,Campus,49.5179403,-115.7451592
College of the Rockies,Creston Campus,B.C. Public,Kootenay,Creston,301 16 Ave S,Regional Campus,49.0932045,-116.5101956
College of the Rockies,Fernie Campus,B.C. Public,Kootenay,Fernie,342 3 Ave,Regional Campus,49.5019016,-115.0665152
College of the Rockies,Golden Campus,B.C. Public,Thompson Okanagan,Golden,1305 9 St S,Regional Campus,51.2963833,-116.9578582
College of the Rockies,Invermere Campus,B.C. Public,Kootenay,Invermere,1535 14th St,Regional Campus,50.502155,-116.0432592
College of the Rockies,Kimberley Campus,B.C. Public,Kootenay,Kimberley,1850 Warren Ave,Regional Campus,49.6712695,-115.9818076
Douglas College,Burnaby Campus ,B.C. Public,Mainland/Southwest,Burnaby,202 - 4250 Kingsway,Training Centre,49.2314243,-123.0095154
Douglas College,Coquitlam Campus,B.C. Public,Mainland/Southwest,Coquitlam,1250 Pinetree Way,Campus,49.2882971,-122.7927245
Douglas College,New Westminster Campus,B.C. Public,Mainland/Southwest,New Westminster,700 Royal Ave,Campus,49.2035716,-122.9148781
Douglas College,Surrey Campus,B.C. Public,Mainland/Southwest,Surrey,10060 King George Hwy,Training Centre,49.185332,-122.8454042
Emily Carr University of Art and Design,1535 West 3rd AVE Campus,B.C. Public,Mainland/Southwest,Vancouver,1535 West 3rd Ave,Training Centre,49.2689473,-123.1398092
Emily Carr University of Art and Design,Granville Island Campus,B.C. Public,Mainland/Southwest,Vancouver,1399 Johnston St,Campus,49.2705365,-123.1351303
Emily Carr University of Art and Design,UNBC Campus,B.C. Public,Cariboo,Prince George,3333 University Way,Satellite,53.8930283,-122.8146054
Emily Carr University of Art and Design,Great Northern Way,B.C. Public,Mainland/Southwest,Vancouver,520 E 1st Ave,Satellite,49.2675825,-123.0947209
Kwantlen Polytechnic University,Cloverdale,B.C. Public,Mainland/Southwest,Cloverdale,5500 180 St,Satellite,49.102393,-122.72398
Kwantlen Polytechnic University,Langley,B.C. Public,Mainland/Southwest,Langley,20901 Langley Bypass,Campus,49.1095838,-122.6474358
Kwantlen Polytechnic University,Richmond,B.C. Public,Mainland/Southwest,Richmond,8771 Lansdowne Road,Satellite,49.1746579,-123.1295963
Kwantlen Polytechnic University,Surrey,B.C. Public,Mainland/Southwest,Surrey,12666 72 Ave,Campus,49.1324694,-122.8728504
